observation record,transect,X,Y,elevation change,fall line exposure,max aphids,aphids,max mealybugs,mealybugs,max ants / mealybug,ants,max moths,moths,environ var 1,environ var 2,environ var 3
1,1a,-5,5,,,5,2.951889922,0,0,5,0,3,2.160937614,,,
2,1a,-4,5,,,6,2.293222201,1,0.7757650088,5,0.2005346207,3,2.871779072,,,
3,1a,-3,5,,,7,2.520848467,2,1.951409534,5,6.144358324,3,0.9563437734,,,
4,1a,-2,5,,,8,1.629256306,2,1.415887181,5,5.220593769,3,2.321643925,,,
5,1a,-1,5,,,9,3.425449195,2,0.3827687429,5,0.8139422796,3,2.225699474,,,
6,1a,1,5,,,20,17.57091505,2,1.921374201,5,5.770484037,3,1.063328379,,,
7,1a,2,5,,,25,2.454196507,2,1.000085447,3,0.6326102644,5,0.5206712373,,,
8,1a,3,5,,,30,23.82938422,15,11.78396595,3,23.85885229,5,2.007328877,,,
9,1a,4,5,,,35,28.9742106,15,7.894400921,3,9.835316817,5,2.186069697,,,
10,1a,5,5,,,40,38.08687283,15,8.317498498,3,6.523430375,5,2.104484027,,,
11,1a,6,5,,,60,18.4691762,15,14.90468832,3,36.34626687,5,1.312405645,,,
12,1a,7,5,,,70,63.525809,15,1.648629941,2,3.036772371,5,1.229756943,,,
13,1a,8,5,,,80,0.06297001481,15,0.9736657101,2,0.4909076701,5,0.85411673,,,
14,1a,9,5,,,90,49.87876141,25,20.84945379,2,10.49148661,5,0.2354191677,,,
15,1a,10,5,,,90,79.05940706,25,10.01032942,2,4.054269244,5,0.1081197069,,,
16,1a,11,5,,,90,16.69773587,25,9.781148019,2,10.41634756,5,0.4271480671,,,
17,1a,12,5,,,90,26.12027741,25,8.767284302,2,5.77148408,5,1.665093264,,,
18,1a,13,5,,,90,43.27976255,25,2.599669576,2,0.8113559723,5,1.523799864,,,